chr	start	end	H3K4me3	H3K9me2	H3K27me3	H3K5ac	H3K56ac	Mnase	ATAQ	Transcripts_ds	Exons_ds	TE_ds	SNPs_ds	TSS_dt	TTS_dt	Telomere_dt	Centromere_dt	AT	CG	mCG	mCHG	Motif_ds	class
1	6030757	6032757	1.66601188750633	0.16548635320714	-1.57434667498227	1.68403301615347	3.57457402413688	91	0	0	0	11	8	18673	724	6030755	128187243	0.5305	0.4695	100	0	0	1
1	6606169	6608169	-1.57372720072022	0.816797389141355	-1.44330716364615	-0.677571474342025	-2.07408350122104	72	4	0	0	2	35	32608	38809	6606167	127611831	0.5275	0.4725	100	100	0	1
1	6919330	6921330	3.94302040858966	-0.948517450051845	-1.1279181035537	18.1510495242302	15.0730474933439	152	0	0	0	0	15	94	832	6919328	127298670	0.4545	0.5455	0	0	0	1
1	7395308	7397308	1.17378958195988	0.0346982579746808	0.196922310269768	5.16552014283981	5.39287056891854	177	5	1	3	0	16	984	0	7395306	126822692	0.4995	0.5005	0	0	0	1
1	7483947	7485947	18.1188213378164	-2.07061605740878	1.50666776726099	2.25559056734654	8.67561213978182	103	0	3	5	0	18	0	0	7483945	126734053	0.44	0.56	0	0	0	1
1	7488264	7490264	-0.634520181189146	-0.0899459454133675	5.64322095042434	4.31630059817282	0.433453102567448	83	10	0	0	0	10	2744	3780	7488262	126729736	0.5515	0.4485	0	0	0	1
1	7558448	7560448	-0.441649476381873	1.87132165337677	-0.721653581823073	1.15386619343721	1.6439521339281	59	4	1	4	1	27	914	481	7558446	126659552	0.612	0.388	100	0	0	1
1	7988352	7990352	-1.15550799856583	0.483874155344765	29.2679366302248	0.429732579733046	-0.425488942090015	21	3	0	0	4	4	3079	919	7988350	126229648	0.6145	0.3855	100	100	0	1
1	8531534	8533534	53.0742907585104	-4.24710499381387	0.863966541932644	2.78392989899807	11.9622357386165	75	0	2	3	0	21	395	0	8531532	125686466	0.389	0.611	0	0	0	1
1	8623700	8625700	-1.47991283042563	-1.50555043003298	8.2890038398513	4.33121214760529	2.99154945210044	141	2	0	0	0	14	489	1598	8623698	125594300	0.4545	0.5455	0	0	0	1
1	9351979	9353979	-1.02749960545358	1.08934202472632	-2.66210072883802	0.259095461911976	-1.27194446378788	54	4	1	1	3	56	5980	0	9351977	124866021	0.584	0.416	100	100	0	1
1	9574039	9576039	6.26860570840576	-2.01305856529667	-0.909901068799374	1.31942910734449	6.18685868164196	61	0	1	1	1	16	0	132	9574037	124643961	0.4805	0.5195	0	0	0	1
1	9950842	9952842	38.6947621025015	-5.40809002784601	23.7453606892166	-0.328287384245939	2.5452362981088	101	1	1	2	0	14	360	213	9950840	124267158	0.3515	0.6485	0	0	0	1
1	11880316	11882316	4.73088203416567	0.0203781617676502	6.22531305794018	4.79391733208079	4.97916111376583	126	0	1	1	2	15	1091	0	11880314	122337684	0.56	0.44	50	0	0	1
1	11941302	11943302	7.28543483865383	-1.15815430615194	-1.0034515860787	1.53754211006007	1.87369882026371	105	8	2	3	0	11	0	0	11941300	122276698	0.473	0.477	29.1667	0	0	1
1	12208508	12210508	14.0604590617518	-1.31875876027051	3.16734230929146	0.362776417744238	5.34008299268871	58	4	1	1	0	4	0	44	12208506	122009492	0.5155	0.4845	0	0	0	1
1	12359885	12361885	-0.508321291739373	0.949082056142975	47.9101318878861	-0.449212856827351	-0.269860975373535	61	3	0	0	0	20	3910	9355	12359883	121858115	0.5455	0.4545	66.6667	0	0	1
1	12485164	12487164	3.43994108106838	-0.0113554331395647	-1.06665932937119	3.3754732035374	6.67220556018464	119	6	1	2	0	18	5554	0	12485162	121732836	0.514	0.486	100	0	0	1
1	12512146	12514146	4.55601309259846	0.0929968196358528	7.20644703695551	8.42422833217722	9.49513359112134	114	5	3	3	0	10	0	3210	12512144	121705854	0.4955	0.5045	0	0	0	1
1	12848892	12850892	0.214678022141609	-2.00944866561585	20.1118708269132	2.86204542131834	6.13801983489508	163	11	0	0	0	10	32	1876	12848890	121369108	0.401	0.599	0	0	0	1
1	12851207	12853207	37.5227820242041	-2.57513586002449	4.75101346393719	3.28569284463371	18.9031550081763	59	13	1	2	0	17	282	0	12851205	121366793	0.4125	0.5875	0	0	0	1
1	13681950	13683950	5.22129483604964	-1.28011614951808	-0.910627155330545	8.30888253976154	11.9262569432938	149	2	2	8	0	23	3952	38	13681948	120536050	0.4775	0.5225	100	0	0	1
1	14162514	14164514	6.08487579529552	-2.43730481375956	2.15861704209162	2.41141334270668	6.46156218675303	90	6	3	3	0	9	0	805	14162512	120055486	0.4185	0.5815	50	0	0	1
1	14450637	14452637	-0.0989630611280186	-0.231817177391748	0.626956612126104	0.534424488069205	-1.54409997115827	56	0	1	2	0	23	0	759	14450635	119767363	0.561	0.439	0	0	0	1
1	14451368	14453368	4.40276492159626	-1.38402849448017	-1.26285555310979	3.6824528196243	0.719362461616615	132	0	1	3	0	19	0	28	14451366	119766632	0.506	0.494	0	0	0	1
1	14811087	14813087	-0.737288796411437	0.603603168283039	3.22527637146281	1.16827226661773	-1.25061332039858	33	3	0	0	1	33	7143	2388	14811085	119406913	0.6185	0.3815	100	83.3333333333333	0	1
1	15066718	15068718	10.6856601125325	-2.89023416777842	3.69872300486707	1.22640203559175	7.2856060005747	80	2	1	1	0	21	0	143	15066716	119151282	0.3965	0.6035	0	0	0	1
1	15067117	15069117	11.1832176556817	-3.15114106717825	4.84181249541419	0.831566758637422	7.56253733617108	83	1	6	2	0	16	0	0	15067115	119150883	0.3815	0.6185	0	0	0	1
1	15784997	15786997	23.6085196655739	-0.687859177465143	-0.769040281752146	8.94972922026011	12.916307479027	81	10	1	1	0	20	0	0	15784995	118433003	0.496	0.504	16.6667	0	0	1
1	16468119	16470119	10.2259155995259	0.0823584015936127	47.2081972876464	2.99413025423123	1.49762235791978	62	2	1	2	0	4	523	3002	16468117	117749881	0.5395	0.4605	0	0	0	1
1	17678623	17680623	10.9759641949593	-2.02189443894367	-2.36448168121897	10.3821711527036	15.8333513427414	104	7	1	1	0	4	6693	0	17678621	116539377	0.4685	0.5315	0	0	0	1
1	17828056	17830056	8.00653137548768	-0.81662015594097	21.9009098246386	0.0372302700954028	0.399128504730871	80	0	1	1	0	3	88	0	17828054	116389944	0.404	0.596	66.6667	0	0	1
1	18639260	18641260	2.36005914278775	0.504797294770929	-2.32431763152102	4.28048954986173	4.13996271652311	96	1	0	0	0	18	7611	10506	18639258	115578740	0.53	0.47	0	0	0	1
1	21716854	21718854	-1.42409803704297	0.296771702065871	-0.687412869616259	3.19641796198196	0.365764408660417	53	13	0	0	0	5	1183	2616	21716852	112501146	0.5455	0.4545	50	0	0	1
1	21718961	21720961	14.9638491015721	-2.61171767778785	13.2505823978282	2.42673316141956	19.3963326441733	99	4	1	2	1	6	0	509	21718959	112499039	0.3745	0.6255	0	0	0	1
1	21981216	21983216	-1.63858951241525	0.842305691939486	-2.50736786753736	0.859465159466092	0.433706568311286	56	2	1	1	2	39	10127	0	21981214	112236784	0.5805	0.4195	16.6667	12.5	0	1
1	22773725	22775725	-1.25465760646317	1.63629599699477	-1.99245787169516	-0.399909480868113	0.440456761278758	25	0	2	5	0	26	1409	0	22773723	111444275	0.6385	0.3615	100	0	0	1
1	23577580	23579580	19.8458899829235	-0.329260414321959	-2.0958296646856	2.96014669698487	6.74607081405993	63	8	0	0	0	9	2077	5561	23577578	110640420	0.5145	0.4855	0	0	0	1
1	25373399	25375399	3.21830486443087	-1.49322897011173	20.5115623547827	3.61174446853449	2.21971958150938	100	2	3	1	0	27	0	913	25373397	108844601	0.4305	0.5695	0	0	0	1
1	25374363	25376363	7.05294160004149	-2.64538294138721	30.9075928779319	2.83789920959067	5.14937003090414	87	0	3	4	0	21	0	0	25374361	108843637	0.3855	0.6145	0	0	0	1
1	26575068	26577068	1.05844771448495	0.161379199900057	75.7859695624526	2.16398271737812	-0.528516096808973	102	0	2	1	0	5	0	4636	26575066	107642932	0.547	0.453	0	0	0	1
1	27137265	27139265	-1.00045032390116	0.245382156249905	-0.649847445398293	1.00828903287618	-1.08518023148626	83	11	0	0	0	20	9096	14587	27137263	107080735	0.5475	0.4525	100	100	0	1
1	30686814	30688814	0.622133475705828	-1.39155907735821	8.50102110695331	1.72359625356555	4.77189283681795	114	6	0	0	0	21	1453	789	30686812	103531186	0.426	0.574	0	0	0	1
1	32025174	32027174	13.5972820881896	-0.675231744917819	-1.96414049697948	4.18096905241089	12.8020077688585	76	10	2	2	0	34	0	1931	32025172	102192826	0.482	0.518	0	0	0	1
1	34997563	34999563	-0.87244193078891	0.330809905884937	-1.76859392961088	1.59567187903409	0.335135074562952	56	4	1	1	3	13	1340	0	34997561	99220437	0.5335	0.4665	100	25	0	1
1	35214856	35216856	-2.45883565714644	-0.483018009298604	-2.06223860884878	3.30618407423191	1.33639146423425	107	4	0	0	4	21	2111	4550	35214854	99003144	0.498	0.502	0	0	0	1
1	35762956	35764956	-0.870632427126437	-0.561546364869124	16.9242363098295	3.79962610310471	1.12352026031732	106	8	0	0	0	14	4688	2354	35762954	98455044	0.4545	0.5455	0	0	0	1
1	37131720	37133720	-1.06712213925866	0.354773912881665	38.9014998654829	3.5052250691336	-0.649819465688876	89	6	0	0	0	10	4934	2959	37131718	97086280	0.5005	0.4995	0	0	0	1
1	39339044	39341044	-1.3195199181582	-0.409223184958355	1.32426718761465	2.81182829982674	2.89940798406421	81	6	0	0	0	4	2172	674	39339042	94878956	0.497	0.503	75	33.3333333333333	0	1
1	39908120	39910120	14.2030367575485	-1.10402024361079	-1.62108371854135	6.47977783929899	15.0966064672185	47	9	1	1	0	11	0	0	39908118	94309880	0.446	0.554	22.5	0	0	1
1	43495841	43497841	3.43451257008096	-2.15157814618806	0.16463056717294	0.142330447711981	1.86185263181486	62	0	2	2	1	10	0	10944	43495839	90722159	0.428	0.572	100	100	0	1
1	43501246	43503246	7.61364522460791	-4.38618398503482	-1.16215881576051	-0.311548343748736	-0.409440558414382	76	1	2	0	4	56	3421	5539	43501244	90716754	0.406	0.594	100	100	0	1
1	46689284	46691284	3.06858242736895	-0.356327445592535	-1.86604238511018	8.17913067416534	12.5304258944873	104	0	0	0	2	28	2760	760	46689282	87528716	0.4985	0.5015	0	0	0	1
